GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
EmployeeTrackerV2,org.example.employeetrackerv2.security,EmailLoginModule,99,0,6,0,25,0,10,0,7,0
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,Admin,10,0,0,0,3,0,2,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,User,27,42,4,0,6,17,6,9,4,9
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,EmployeeHistory,44,11,0,0,17,5,9,3,9,3
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,Employee,111,6,0,0,43,3,23,1,23,1
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,Offer,83,37,0,0,35,14,24,2,24,2
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,Leave,21,52,0,0,8,22,1,15,1,15
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,Recruiter,7,10,0,0,3,3,2,2,2,2
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,LeaveHistory,42,3,0,0,17,1,9,1,9,1
EmployeeTrackerV2,org.example.employeetrackerv2.model.entity,Application,66,17,0,0,27,7,13,5,13,5
EmployeeTrackerV2,org.example.employeetrackerv2.service.impl,LeaveServiceImpl,0,94,1,1,0,31,1,7,0,7
EmployeeTrackerV2,org.example.employeetrackerv2.service.impl,ApplicationServiceImpl,5,55,1,1,1,17,2,6,1,6
EmployeeTrackerV2,org.example.employeetrackerv2.service.impl,OfferServiceImpl,0,24,0,0,0,9,0,5,0,5
EmployeeTrackerV2,org.example.employeetrackerv2.service.impl,EmployeeServiceImpl,28,83,6,2,5,20,4,8,0,8
EmployeeTrackerV2,org.example.employeetrackerv2.service.impl,RecruiterServiceImpl,0,30,0,0,0,11,0,6,0,6
EmployeeTrackerV2,org.example.employeetrackerv2.service.impl,UserServiceImpl,0,22,0,4,0,7,0,4,0,2
EmployeeTrackerV2,org.example.employeetrackerv2.seeder,AdminSeeder,24,0,0,0,7,0,2,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2.model.enums,OfferStatus,0,21,0,0,0,4,0,1,0,1
EmployeeTrackerV2,org.example.employeetrackerv2.model.enums,Status,0,27,0,0,0,5,0,1,0,1
EmployeeTrackerV2,org.example.employeetrackerv2.model.enums,Role,0,21,0,0,0,4,0,1,0,1
EmployeeTrackerV2,org.example.employeetrackerv2.model.enums,JobType,0,39,0,0,0,7,0,1,0,1
EmployeeTrackerV2,org.example.employeetrackerv2.scheduler,OfferStatusUpdater,22,0,0,0,7,0,2,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2.config,JpaConfig,9,0,0,0,4,0,3,0,3,0
EmployeeTrackerV2,org.example.employeetrackerv2.smtp,NotificationService,81,3,4,0,22,1,3,1,1,1
EmployeeTrackerV2,org.example.employeetrackerv2.smtp,NotificationService.new Authenticator() {...},9,0,0,0,2,0,2,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2,Main,5,0,0,0,3,0,2,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2.init,DatabaseInitializer,33,0,6,0,13,0,5,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2.servlet,ApplicationServlet,239,0,15,0,65,0,18,0,9,0
EmployeeTrackerV2,org.example.employeetrackerv2.servlet,AuthServlet,108,0,9,0,30,0,10,0,5,0
EmployeeTrackerV2,org.example.employeetrackerv2.servlet,AccessFilter,174,0,48,0,41,0,26,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2.servlet,OfferServlet,223,0,16,0,60,0,17,0,8,0
EmployeeTrackerV2,org.example.employeetrackerv2.servlet,LeaveServlet,451,0,29,0,120,0,25,0,9,0
EmployeeTrackerV2,org.example.employeetrackerv2.servlet,EmployeeServlet,437,0,12,0,113,0,18,0,10,0
EmployeeTrackerV2,org.example.employeetrackerv2.dao.impl,RecruiterDaoImpl,152,0,18,0,60,0,15,0,6,0
EmployeeTrackerV2,org.example.employeetrackerv2.dao.impl,ApplicationDaoImpl,190,0,22,0,75,0,17,0,6,0
EmployeeTrackerV2,org.example.employeetrackerv2.dao.impl,UserDaoImpl,49,0,4,0,16,0,4,0,2,0
EmployeeTrackerV2,org.example.employeetrackerv2.dao.impl,OfferDaoImpl,136,0,10,0,53,0,10,0,5,0
EmployeeTrackerV2,org.example.employeetrackerv2.dao.impl,LeaveDaoImpl,160,0,18,0,63,0,15,0,6,0
EmployeeTrackerV2,org.example.employeetrackerv2.dao.impl,EmployeeDaoImpl,180,0,22,0,72,0,18,0,7,0
